"Name","DisplayName","State","StartMode"
"BluetoothUserService_302dc","Bluetooth User Support Service_302dc","Stopped","Manual"
"CaptureService_302dc","CaptureService_302dc","Stopped","Manual"
"cbdhsvc_302dc","Clipboard User Service_302dc","Stopped","Disabled"
"CDPUserSvc_302dc","Connected Devices Platform User Service_302dc","Stopped","Disabled"
"ConsentUxUserSvc_302dc","ConsentUX_302dc","Stopped","Manual"
"CredentialEnrollmentManagerUserSvc_302dc","CredentialEnrollmentManagerUserSvc_302dc","Stopped","Disabled"
"DeviceAssociationBrokerSvc_302dc","DeviceAssociationBroker_302dc","Stopped","Manual"
"DevicePickerUserSvc_302dc","DevicePicker_302dc","Stopped","Manual"
"DevicesFlowUserSvc_302dc","DevicesFlow_302dc","Stopped","Manual"
"PimIndexMaintenanceSvc_302dc","Contact Data_302dc","Stopped","Disabled"
"PrintWorkflowUserSvc_302dc","PrintWorkflow_302dc","Stopped","Manual"
"UdkUserSvc_302dc","Udk User Service_302dc","Stopped","Manual"
"UnistoreSvc_302dc","User Data Storage_302dc","Stopped","Disabled"
"UserDataSvc_302dc","User Data Access_302dc","Stopped","Disabled"
"WpnUserService_302dc","Windows Push Notifications User Service_302dc","Stopped","Disabled"
"TermService",,,
